"Enter SKUs for the product slider","Enter SKUs for the product slider"
"Maximum products to display","Maximum products to display"
"Hide out-of-stock products","Hide out-of-stock products"
"Product Slider","Product Slider"
"Add to Cart","Add to Cart"
